Show_Name,Episode_Number,Viewer_Count,IMDB_Rating
Futurama,87,"1,263",7.4
Futurama,88,18,7.7
Futurama,89,"1,310",7.9
Futurama,90,17,7.8
Futurama,91,"1,356",8.4
Futurama,92,17,7.9
Futurama,93,"1,163",7.3
Futurama,94,19,7.8
Futurama,95,"1,126",7.6
Futurama,96,19,7.8
Futurama,97,"1,202",6.5
Futurama,98,18,7.7
Futurama,99,"1,205",7.5
Futurama,100,17,7.6
Futurama,101,"1,184",7.7
Futurama,102,18,7.6
Futurama,103,"1,081",7.6
Futurama,104,19,7.8
Futurama,105,"1,168",8.1
Futurama,106,"1,073",7.6
Futurama,107,"1,078",6.9
Futurama,108,"1,036",7.4
Futurama,109,"1,057",7.4
Futurama,110,994,7.3
Futurama,111,"1,075",7.8
Futurama,112,"1,060",7.7
Futurama,113,"1,105",8
Futurama,114,"1,243",8
Futurama,115,"1,254",7.7
Futurama,116,"1,074",7.6
Futurama,117,"1,108",7.5
Futurama,118,"1,010",7.3
Futurama,119,997,7.1
Futurama,120,"1,003",7
Futurama,121,"1,017",7.5
Futurama,122,"1,035",7.7
Futurama,123,969,7.3
Futurama,124,997,7.7
Futurama,125,938,7.6
Futurama,126,963,7.2
Futurama,127,"1,110",7.3
Futurama,128,973,7.3
Futurama,129,978,8
Futurama,130,930,7.4
Futurama,131,968,6.7
Futurama,132,934,7.3
Futurama,133,"1,145",6.9
Futurama,134,937,7.2
Futurama,135,932,7.2
Futurama,136,906,7.1
Futurama,137,"1,391",8.5
Futurama,138,"1,173",8.5
Futurama,139,"1,138",8
Futurama,140,"2,714",9.4
Dexter,1,"7,289",8.8
Dexter,2,"5,058",8.3
Dexter,3,"4,727",8.4
Dexter,4,"4,638",8.7
Dexter,5,"4,454",8.6
Dexter,6,"4,654",9
Dexter,7,"4,339",8.8
Dexter,8,"4,641",9
Dexter,9,"4,217",8.6
Dexter,10,"4,759",9.2
Dexter,11,"4,846",9.3
Dexter,12,"7,488",9.6
Dexter,13,"4,325",8.8
Dexter,14,"3,924",8.6
Dexter,15,"3,883",8.7
Dexter,16,"3,713",8.5
Dexter,17,"3,841",8.7
Dexter,18,"3,721",8.6
Dexter,19,"3,779",8.8
Dexter,20,"3,928",9.1
Dexter,21,"4,362",9.4
Dexter,22,"3,812",9
Dexter,23,"3,815",9
Dexter,24,"4,641",9.2
Dexter,25,"3,703",8.3
Dexter,26,"3,456",8.5
Dexter,27,"3,340",8.2
Dexter,28,"3,302",8.2
Dexter,29,"3,273",8.5
Dexter,30,"3,239",8.3
Dexter,31,"3,343",8.5
Dexter,32,"3,279",8.6
Dexter,33,"3,335",8.8
Dexter,34,"3,534",9.1
Dexter,35,"3,379",8.9
Dexter,36,"3,662",8.9
Dexter,37,"3,764",8.7
Dexter,38,"3,352",8.7
Dexter,39,"3,249",8.3
Dexter,40,"3,831",9.2
Dexter,41,"3,481",9
Dexter,42,"3,293",8.7
Dexter,43,"3,226",8.5
Dexter,44,"3,237",8.6
Dexter,45,"4,552",9.4
Dexter,46,"3,775",9.2
Dexter,47,"4,903",9.5
Dexter,48,"10,540",9.8
Dexter,49,"4,212",8.9
Dexter,50,"3,200",8.3
Dexter,51,"3,144",8.5
Dexter,52,"3,127",8.5
Dexter,53,"3,076",8.1
Dexter,54,"3,354",8.8
Dexter,55,"3,064",8.5
Dexter,56,"3,250",8.9
Dexter,57,"3,388",9
Dexter,58,"3,396",9
Dexter,59,"3,237",8.9
Dexter,60,"3,936",8.9
Dexter,61,"4,262",8.6
Dexter,62,"3,272",8.1
Dexter,63,"3,144",8.2
Dexter,64,"3,157",8.5
Dexter,65,"3,079",8.1
Dexter,66,"3,189",8.5
Dexter,67,"3,389",7.9
Dexter,68,"3,017",7.9
Dexter,69,"3,338",8.5
Dexter,70,"3,013",8.1
Dexter,71,"3,143",8.4
Dexter,72,"5,144",9.2
Dexter,73,"7,568",9.5
Dexter,74,"3,954",8.8
Dexter,75,"3,578",8.7
Dexter,76,"3,693",8.9
Dexter,77,"3,310",8.6
Dexter,78,"3,357",8.3
Dexter,79,"3,318",8.5
Dexter,80,"3,931",8.9
Dexter,81,"3,290",8.6
Dexter,82,"3,171",8.5
Dexter,83,"3,528",9
Dexter,84,"5,390",9.3
Dexter,85,"4,807",8.6
Dexter,86,"3,490",8.1
Dexter,87,"3,353",8.1
Dexter,88,"3,372",8.1
Dexter,89,"3,249",7.9
Dexter,90,"3,266",7.8
Dexter,91,"3,368",7.6
Dexter,92,"3,633",8.1
Dexter,93,"3,561",7.4
Dexter,94,"4,009",6.9
Dexter,95,"4,281",7.2
Dexter,96,"17,365",4.6
How I Met Your Mother,1,"5,176",8.5
How I Met Your Mother,2,"3,906",8.2
How I Met Your Mother,3,"3,704",8.2
How I Met Your Mother,4,"3,476",8
How I Met Your Mother,5,"3,601",8.3
How I Met Your Mother,6,"3,474",8.1
How I Met Your Mother,7,"3,272",7.7
How I Met Your Mother,8,"3,230",8.2
How I Met Your Mother,9,"3,230",8.1
How I Met Your Mother,10,"4,913",9.2
How I Met Your Mother,11,"3,363",8.3
How I Met Your Mother,12,"3,157",8.1
How I Met Your Mother,13,"3,570",8.7
How I Met Your Mother,14,"3,065",8.2
How I Met Your Mother,15,"3,994",9.1
How I Met Your Mother,16,"2,955",7.9
How I Met Your Mother,17,"2,932",7.7
How I Met Your Mother,18,"3,229",8.5
How I Met Your Mother,19,"3,510",8.8
How I Met Your Mother,20,"2,934",7.9
How I Met Your Mother,21,"2,954",8.1
How I Met Your Mother,22,"3,626",8.9
How I Met Your Mother,23,"2,929",8.2
How I Met Your Mother,24,"2,864",8.2
How I Met Your Mother,25,"2,984",8.5
How I Met Your Mother,26,"3,370",8.8
How I Met Your Mother,27,"3,197",8.8
How I Met Your Mother,28,"2,870",8.1
How I Met Your Mother,29,"4,008",9
How I Met Your Mother,30,"2,802",8
How I Met Your Mother,31,"5,833",9.5
How I Met Your Mother,32,"2,855",8.2
How I Met Your Mother,33,"2,832",8.1
How I Met Your Mother,34,"2,916",8.2
How I Met Your Mother,35,"2,697",8
How I Met Your Mother,36,"2,892",8.4
How I Met Your Mother,37,"2,828",8.4
How I Met Your Mother,38,"2,964",8.5
How I Met Your Mother,39,"2,912",8.3
How I Met Your Mother,40,"2,693",8.1
How I Met Your Mother,41,"2,836",8.4
How I Met Your Mother,42,"3,113",8.9
How I Met Your Mother,43,"2,935",8.8
How I Met Your Mother,44,"2,989",8.8
How I Met Your Mother,45,"2,972",8.3
How I Met Your Mother,46,"2,647",7.7
How I Met Your Mother,47,"2,751",8.1
How I Met Your Mother,48,"2,644",7.8
How I Met Your Mother,49,"3,658",9
How I Met Your Mother,50,"2,614",8.1
How I Met Your Mother,51,"2,648",8
How I Met Your Mother,52,"3,652",9.1
How I Met Your Mother,53,"3,505",9
How I Met Your Mother,54,"2,690",8
How I Met Your Mother,55,"2,802",8.5
How I Met Your Mother,56,"2,714",8.2
How I Met Your Mother,57,"3,232",8.8
How I Met Your Mother,58,"2,843",8.7
How I Met Your Mother,59,"2,595",8
How I Met Your Mother,60,"2,842",8.2
How I Met Your Mother,61,"2,612",8.2
How I Met Your Mother,62,"2,578",8.1
How I Met Your Mother,63,"2,584",7.8
How I Met Your Mother,64,"2,813",8.7
How I Met Your Mother,65,"3,003",8.6
How I Met Your Mother,66,"3,137",8.5
How I Met Your Mother,67,"2,589",7.7
How I Met Your Mother,68,"3,078",8.8
How I Met Your Mother,69,"2,684",8.3
How I Met Your Mother,70,"2,564",8
How I Met Your Mother,71,"2,510",7.8
How I Met Your Mother,72,"2,688",8.1
How I Met Your Mother,73,"4,279",9.2
How I Met Your Mother,74,"2,659",8.3
How I Met Your Mother,75,"2,625",8.1
How I Met Your Mother,76,"2,824",8.6
How I Met Your Mother,77,"2,788",8.5
How I Met Your Mother,78,"2,684",8.4
How I Met Your Mother,79,"2,731",8.3
How I Met Your Mother,80,"2,596",7.8
How I Met Your Mother,81,"2,691",8.4
How I Met Your Mother,82,"2,476",7.7
How I Met Your Mother,83,"2,676",8.5
How I Met Your Mother,84,"2,497",7.7
How I Met Your Mother,85,"2,799",8.7
How I Met Your Mother,86,"2,593",8.2
How I Met Your Mother,87,"2,519",7.7
How I Met Your Mother,88,"2,966",8.8
How I Met Your Mother,89,"2,863",8.6
How I Met Your Mother,90,"2,579",8.1
How I Met Your Mother,91,"2,664",8.4
How I Met Your Mother,92,"2,709",8
How I Met Your Mother,93,"2,518",7.8
How I Met Your Mother,94,"2,443",7.8
How I Met Your Mother,95,"2,578",7.8
How I Met Your Mother,96,"5,520",9.4
How I Met Your Mother,97,"2,663",8
How I Met Your Mother,98,"2,592",8.1
How I Met Your Mother,99,"2,725",7.8
How I Met Your Mother,100,"4,354",9.1
How I Met Your Mother,101,"2,864",8.6
How I Met Your Mother,102,"3,094",8.9
How I Met Your Mother,103,"2,558",8
How I Met Your Mother,104,"2,504",7.8
How I Met Your Mother,105,"2,797",8.3
How I Met Your Mother,106,"2,567",8.2
How I Met Your Mother,107,"2,501",7.6
How I Met Your Mother,108,"2,492",7.9
How I Met Your Mother,109,"2,437",7.8
How I Met Your Mother,110,"2,583",8.2
How I Met Your Mother,111,"2,713",8.1
How I Met Your Mother,112,"2,643",8.5
How I Met Your Mother,113,"2,737",8.2
How I Met Your Mother,114,"2,758",8.3
How I Met Your Mother,115,"2,463",7.8
How I Met Your Mother,116,"2,840",8.6
How I Met Your Mother,117,"2,410",7.8
How I Met Your Mother,118,"2,421",7.7
How I Met Your Mother,119,"2,384",7.7
How I Met Your Mother,120,"2,500",8.1
How I Met Your Mother,121,"2,931",8.5
How I Met Your Mother,122,"3,948",9.1
How I Met Your Mother,123,"2,530",8
How I Met Your Mother,124,"2,489",8.2
How I Met Your Mother,125,"3,602",8.9
How I Met Your Mother,126,"2,974",8.6
How I Met Your Mother,127,"3,324",8.8
How I Met Your Mother,128,"2,436",8.1
How I Met Your Mother,129,"2,310",7.7
How I Met Your Mother,130,"2,528",8.3
How I Met Your Mother,131,"2,671",8.3
How I Met Your Mother,132,"2,333",7.7
How I Met Your Mother,133,"2,338",7.9
How I Met Your Mother,134,"2,348",7.9
How I Met Your Mother,135,"2,288",7.8
How I Met Your Mother,136,"2,689",8.5
How I Met Your Mother,137,"3,388",8.6
How I Met Your Mother,138,"2,692",8.1
How I Met Your Mother,139,"3,424",8.9
How I Met Your Mother,140,"2,551",8.1
How I Met Your Mother,141,"2,416",7.5
How I Met Your Mother,142,"2,524",7.8
How I Met Your Mother,143,"2,520",7.7
How I Met Your Mother,144,"2,595",7.4
How I Met Your Mother,145,"2,703",8.3
How I Met Your Mother,146,"3,841",9
How I Met Your Mother,147,"2,568",8
How I Met Your Mother,148,"3,457",8.8
How I Met Your Mother,149,"2,563",7.8
How I Met Your Mother,150,"2,630",7.7
How I Met Your Mother,151,"2,787",7.3
How I Met Your Mother,152,"2,628",8.1
How I Met Your Mother,153,"2,770",8.4
How I Met Your Mother,154,"2,437",8
How I Met Your Mother,155,"2,859",8.6
How I Met Your Mother,156,"2,747",8.6
How I Met Your Mother,157,"2,355",8
How I Met Your Mother,158,"2,284",7.8
How I Met Your Mother,159,"2,766",8.5
How I Met Your Mother,160,"3,238",8.9
How I Met Your Mother,161,"4,228",8.6
How I Met Your Mother,162,"2,784",7.4
How I Met Your Mother,163,"2,564",7.3
How I Met Your Mother,164,"2,664",7.5
How I Met Your Mother,165,"2,639",7.5
How I Met Your Mother,166,"2,430",7.6
How I Met Your Mother,167,"2,360",7.4
How I Met Your Mother,168,"2,429",7.5
How I Met Your Mother,169,"2,400",7.5
How I Met Your Mother,170,"2,489",8.1
How I Met Your Mother,171,"3,044",8.6
How I Met Your Mother,172,"5,642",9.4
How I Met Your Mother,173,"2,563",7.9
How I Met Your Mother,174,"2,557",7.9
How I Met Your Mother,175,"2,957",8.2
How I Met Your Mother,176,"2,370",7.6
How I Met Your Mother,177,"2,406",7.8
How I Met Your Mother,178,"2,608",8.1
How I Met Your Mother,179,"2,388",8
How I Met Your Mother,180,"3,793",8.4
